requirementId,rfFamily,taskId,testId,evidencePath,source
ARCH-ASYNC-001,RF-17,P0-ARCH-001,TRACE-ARCH-ASYNC-001,./evidence/P0-ARCH-001/index.md,fullspec.md:415
INV-AI-001,RF-08,P4-CHAT-001,TRACE-INV-AI-001,./evidence/P4-CHAT-001/index.md,fullspec.md:102
INV-ANSWER-001,RF-08,P4-CHAT-001,TRACE-INV-ANSWER-001,./evidence/P4-CHAT-001/index.md,fullspec.md:103
INV-AUDIT-001,RF-10,P1-OBS-001,TRACE-INV-AUDIT-001,./evidence/P1-OBS-001/index.md,fullspec.md:108
INV-AUTOCHAT-001,RF-18,AUTO-GATE-001,TRACE-INV-AUTOCHAT-001,./evidence/AUTO-GATE-001/index.md,fullspec.md:112
INV-AUTOCLOSE-001,RF-18,AUTO-GATE-001,TRACE-INV-AUTOCLOSE-001,./evidence/AUTO-GATE-001/index.md,fullspec.md:111
INV-AUTODEPLOY-001,RF-18,AUTO-GATE-001,TRACE-INV-AUTODEPLOY-001,./evidence/AUTO-GATE-001/index.md,fullspec.md:113
INV-CLAIM-001,RF-08,P4-CHAT-001,TRACE-INV-CLAIM-001,./evidence/P4-CHAT-001/index.md,fullspec.md:104
INV-COMPLAINT-001,RF-06,P3-CMP-001,TRACE-INV-COMPLAINT-001,./evidence/P3-CMP-001/index.md,fullspec.md:106
INV-CORE-001,RF-15,P3-RES-001,TRACE-INV-CORE-001,./evidence/P3-RES-001/index.md,fullspec.md:107
INV-DELETE-001,RF-10,P7-PRIV-001,TRACE-INV-DELETE-001,./evidence/P7-PRIV-001/index.md,fullspec.md:110
INV-HANDOFF-001,RF-09,P5-HO-001,TRACE-INV-HANDOFF-001,./evidence/P5-HO-001/index.md,fullspec.md:105
INV-TENANT-001,RF-03,P1-RLS-001,TRACE-INV-TENANT-001,./evidence/P1-RLS-001/index.md,fullspec.md:101
INV-VERSION-001,RF-10,P4-DOC-001,TRACE-INV-VERSION-001,./evidence/P4-DOC-001/index.md,fullspec.md:109
NFR-ADMIN-001,RF-10,P6-ADM-001,TRACE-NFR-ADMIN-001,./evidence/P6-ADM-001/index.md,fullspec.md:2533
NFR-API-001,RF-17,P0-ARCH-001,TRACE-NFR-API-001,./evidence/P0-ARCH-001/index.md,fullspec.md:2532
NFR-AVAIL-001,RF-15,P7-SLO-001,TRACE-NFR-AVAIL-001,./evidence/P7-SLO-001/index.md,fullspec.md:2530
NFR-DR-001,RF-15,P7-DR-001,TRACE-NFR-DR-001,./evidence/P7-DR-001/index.md,fullspec.md:2537
NFR-LIFF-001,RF-05,P2-LIFF-001,TRACE-NFR-LIFF-001,./evidence/P2-LIFF-001/index.md,fullspec.md:2535
NFR-LINE-001,RF-05,P2-LINE-002,TRACE-NFR-LINE-001,./evidence/P2-LINE-002/index.md,fullspec.md:2531
NFR-NOTIFY-001,RF-09,P3-NOTIF-001,TRACE-NFR-NOTIFY-001,./evidence/P3-NOTIF-001/index.md,fullspec.md:2536
NFR-RAG-001,RF-07,P4-QA-001,TRACE-NFR-RAG-001,./evidence/P4-QA-001/index.md,fullspec.md:2534
RAG-ACCURACY-001,RF-07,P4-QA-001,TRACE-RAG-ACCURACY-001,./evidence/P4-QA-001/index.md,fullspec.md:1000
RAG-ACCURACY-002,RF-07,P4-QA-001,TRACE-RAG-ACCURACY-002,./evidence/P4-QA-001/index.md,fullspec.md:1006
RAG-CORPUS-001,RF-07,P0-COR-001,TRACE-RAG-CORPUS-001,./evidence/P0-COR-001/index.md,fullspec.md:248
RAG-CORPUS-002,RF-07,P0-COR-001,TRACE-RAG-CORPUS-002,./evidence/P0-COR-001/index.md,fullspec.md:267
RAG-CORPUS-003,RF-07,P0-COR-001,TRACE-RAG-CORPUS-003,./evidence/P0-COR-001/index.md,fullspec.md:268
RAG-CORPUS-004,RF-07,P0-COR-001,TRACE-RAG-CORPUS-004,./evidence/P0-COR-001/index.md,fullspec.md:269
RAG-CORPUS-005,RF-07,P0-COR-001,TRACE-RAG-CORPUS-005,./evidence/P0-COR-001/index.md,fullspec.md:270
RAG-CORPUS-006,RF-07,P0-COR-001,TRACE-RAG-CORPUS-006,./evidence/P0-COR-001/index.md,fullspec.md:271
RAG-CORPUS-007,RF-07,P0-COR-001,TRACE-RAG-CORPUS-007,./evidence/P0-COR-001/index.md,fullspec.md:272
RAG-CORPUS-008,RF-07,P0-COR-001,TRACE-RAG-CORPUS-008,./evidence/P0-COR-001/index.md,fullspec.md:273
RAG-CORPUS-009,RF-07,P0-COR-001,TRACE-RAG-CORPUS-009,./evidence/P0-COR-001/index.md,fullspec.md:274
RAG-CORPUS-010,RF-07,P0-COR-001,TRACE-RAG-CORPUS-010,./evidence/P0-COR-001/index.md,fullspec.md:275
RAG-CORPUS-011,RF-07,P0-COR-001,TRACE-RAG-CORPUS-011,./evidence/P0-COR-001/index.md,fullspec.md:276
SEC-BASE-001,RF-13,P1-SEC-001,TRACE-SEC-BASE-001,./evidence/P1-SEC-001/index.md,fullspec.md:602
SPEC-AGENT-001,RF-18,AUTO-GATE-001,TRACE-SPEC-AGENT-001,./evidence/AUTO-GATE-001/index.md,fullspec.md:82
SPEC-AUTO-001,RF-18,AUTO-GATE-001,TRACE-SPEC-AUTO-001,./evidence/AUTO-GATE-001/index.md,fullspec.md:33
SPEC-DOC-001,RF-18,AUTO-GATE-001,TRACE-SPEC-DOC-001,./evidence/AUTO-GATE-001/index.md,fullspec.md:17
SPEC-MVP-001,RF-18,AUTO-GATE-001,TRACE-SPEC-MVP-001,./evidence/AUTO-GATE-001/index.md,fullspec.md:31
